goal ,pledged ,backers ,currency ,main_category 
3000,1140,12,1,7
500,1917,10,1,7
5000,7102,128,1,7
3950,0,0,1,7
1700,1725,48,1,7
750,1161,24,1,7
3500,10,1,1,7
5000,5157,91,1,7
10500,11688,101,1,7
10000,10240,97,1,7
5800,7780,59,1,7
250,262,8,1,7
2100,2500,56,1,7
2500,2500,41,1,7
10,6,2,1,7
32000,200,6,1,7
25000,0,0,1,7
5000,16,2,1,7
1000,76,4,1,7
50000,823,20,1,7
15000,15371,125,1,7
5000,10,1,1,7
2000,815,16,1,7
18200,18550,217,1,7
3750,175,4,1,7
4000,17,3,1,7
20000,21716,167,1,7
3000,3,2,1,7
2800,330,5,1,7
70,130,5,1,7
500,45,2,1,7
5000,230,8,1,7
9000,160,5,1,7
6000,7535,114,1,7
300,12,3,1,7
5000,25,1,1,7
10000,0,0,1,7
2500,290,8,1,7
1000,1629,64,1,7
100,47,4,1,7
100,120,3,1,7
5000,5000,67,1,7
6000,35,3,1,7
5000,10000,59,1,7
1200,0,0,1,7
5000,26,2,1,7
2000,3956,122,1,7
250,0,0,1,7
13000,3552,58,1,7
650,2285,43,1,7
3326,3801,52,1,7
1750,5,1,1,7
5500,2050,42,1,7
7000,7116,92,1,7
989,27,3,1,7
10260,30,3,1,7
777,1033,27,1,7
3500,3511,29,1,7
4000,1291,26,1,7
100,118,2,1,7
880,220,5,1,7
2500,4242,77,1,7
36000,10,1,1,7
1500,10,1,1,7
150000,11,2,1,7
80000,3999,43,1,7
3400,18559,740,1,7
1200,76,4,1,7
85000,4314,71,1,7
850,870,29,1,7
10000,10544,149,1,7
120,0,0,1,7
65000,6637,49,1,7
15000,1255,22,1,7
25000,550,8,1,7
400,504,21,1,7
1500,1525,12,1,7
4000,35,3,1,7
3500,0,0,1,7
200,1,1,1,7
10000,0,0,1,7
2000,2040,33,1,7
2500,20,2,1,7
200,200,3,1,7
1880,2790,32,1,7
4000,0,0,1,7
55000,1285,17,1,7
2000,290,3,1,7
12500,0,0,1,7
500,101,2,1,7
10,10,1,1,7
550,290,11,1,7
3000,70,3,1,7
5000,20,1,1,7
2000,75,2,1,7
20000,20492,536,1,7
8000,8059,60,1,7
1020,0,0,1,7
600,623,18,1,7
2500,166,7,1,7
1000,5,1,1,7
9000,9001,68,1,7
5000,51,3,1,7
100,705,9,1,7
3,79,7,1,7
5000,5681,130,1,7
12800,16125,69,1,7
600,655,16,1,7
10000,560,10,1,7
12400,1055,11,1,7
5000,7,3,1,7
2500,0,0,1,7
20000,0,0,1,7
